peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.598842,0.16423035,196.0
0.82296324,0.19141334,197.0
0.5760282,0.15846092,198.0
0.61068726,0.14566775,199.0
1.2812243,0.25165176,200.0
2.7797623,0.44808587,201.0
1.8010074,0.24076642,202.0
0.4139435,0.16184613,203.0
0.414009,0.16165665,204.0
2.5866525,0.29723376,205.0
0.741822,0.19693364,206.0
0.738102,0.22861363,207.0
0.6966678,0.22673777,208.0
0.6743997,0.20801508,209.0
0.7156905,0.21615493,210.0
0.65306246,0.1983347,211.0
0.52801603,0.1499791,212.0
0.5265882,0.15014459,213.0
0.47657585,0.16160832,214.0
0.51251847,0.15812553,215.0
0.62376726,0.1719305,216.0
0.78184116,0.21222337,217.0
1.0604938,0.25553644,218.0
1.1940799,0.24681237,219.0
0.44019958,0.12705831,220.0
0.6619735,0.14222264,221.0
0.965101,0.16528207,222.0
1.3794405,0.17509781,223.0
2.1408193,0.3692047,224.0
0.39989394,0.105516426,225.0
0.6194584,0.11062101,226.0
0.9874427,0.1703373,227.0
1.4054903,0.18831079,228.0
2.12891,0.1946944,229.0
2.7350776,0.4277963,230.0
0.7863827,0.12956205,231.0
1.1727821,0.16411722,232.0
1.9030157,0.19839112,233.0
3.541682,0.49969748,234.0
2.4416578,0.31713712,235.0
2.635367,0.38966456,236.0
0.59402615,0.13799441,237.0
0.79212135,0.16921216,238.0
0.45892143,0.14012101,239.0
2.7477696,0.42116016,240.0
0.42206562,0.16639936,241.0
0.35017094,0.021825323,242.0
0.5239329,-0.039261375,243.0
0.42770463,-0.015681054,244.0
0.44647804,0.054914493,245.0
0.5205257,0.003854875,246.0
0.44520906,0.051485416,247.0
0.47355774,0.0030699552,248.0
1.045039,0.012901502,249.0
2.415045,0.37822515,250.0
2.316811,0.34582376,251.0
2.0521188,0.34417003,252.0
2.6445203,0.5580188,253.0
0.6252254,0.1542712,254.0
0.81046546,0.21227732,255.0
0.49733755,0.1408981,256.0
2.7511942,0.5724227,257.0
0.3447642,0.12207547,258.0
0.34753996,0.1157866,259.0
0.32622668,0.124510996,260.0
0.34055245,0.119617246,261.0
2.1882298,0.41921166,262.0
0.6241121,0.11225758,263.0
0.6230595,0.1109996,264.0
0.59270006,0.09552218,265.0
0.48991507,0.1060679,266.0
0.6125311,0.10235388,267.0
0.4810497,0.1026688,268.0
0.47333947,0.1081772,269.0
0.47498903,0.10540049,270.0
0.4100158,0.08133573,271.0
0.36755723,0.0983669,272.0
0.45973444,0.101472,273.0
0.36704326,0.09825253,274.0
0.7548041,0.13455553,275.0
0.85198396,0.05183043,276.0
1.17933,0.12967283,277.0
1.2568582,0.10435185,278.0
0.41718563,0.14683707,279.0
0.70328426,0.17976497,280.0
0.43048495,0.14927094,281.0
0.7996658,0.21630424,282.0
0.41619092,0.14630365,283.0
0.7216585,0.17923681,284.0
0.39992607,0.14155594,285.0
0.6283867,0.18449438,286.0
0.47539127,0.15120496,287.0
0.7205463,0.16299663,288.0
0.5670349,0.16609617,289.0
0.61443925,0.19339882,290.0
0.769931,0.19502904,291.0
0.63902813,0.19405629,292.0
0.67017716,0.19507873,293.0
1.916939,0.22194616,294.0
2.835788,0.54962456,295.0
2.5103033,0.391617,296.0
0.4082242,0.11011311,297.0
0.4662285,0.116152205,298.0
0.36186287,0.0917897,299.0
0.5245242,0.12462642,300.0
0.5769722,0.1014264,301.0
0.47408485,0.11397376,302.0
2.8819804,0.64985317,303.0
0.44472134,0.09586022,304.0
0.6430125,0.09306659,305.0
0.94317436,0.113986865,306.0
1.2815336,0.19115925,307.0
1.7784336,0.37417892,308.0
0.41224167,0.062947355,309.0
0.6357967,0.07613095,310.0
0.90721405,0.089352176,311.0
1.3446043,0.08667143,312.0
2.038674,0.23949097,313.0
2.816353,0.55311984,314.0
0.5299571,0.08635656,315.0
0.73728687,0.09243525,316.0
0.97101617,0.10653682,317.0
1.3032933,0.05792019,318.0
2.0033922,0.12827577,319.0
3.8820467,0.6006299,320.0
1.9080085,0.20690908,321.0
2.504886,0.39134884,322.0
0.5784051,0.1666492,323.0
0.7239256,0.15821046,324.0
0.4809341,0.14534035,325.0
3.0124946,0.7281736,326.0
0.5282926,0.114574835,327.0
0.53730536,0.12427774,328.0
0.48285437,0.10079317,329.0
3.1550484,0.84472656,330.0
0.8407849,0.12038629,331.0
0.8589482,0.15802601,332.0
0.7320454,0.11685538,333.0
0.7529498,0.10602788,334.0
0.806596,0.13893002,335.0
0.71246433,0.08466432,336.0
0.66137254,0.11069515,337.0
0.67366916,0.13156065,338.0
0.5121824,0.11291177,339.0
0.47428173,0.09763214,340.0
0.61894745,0.11425592,341.0
0.42812598,0.08853541,342.0
0.7081255,0.13956334,343.0
0.8364916,0.08773597,344.0
1.1512512,0.118512616,345.0
1.3278818,0.10673222,346.0
0.6365401,0.16801573,347.0
0.47253266,0.12934828,348.0
0.58769226,0.15787286,349.0
0.56276256,0.15575068,350.0
0.38244814,0.11512731,351.0
0.69433475,0.1812103,352.0
0.5664172,0.15290795,353.0
0.64580405,0.17198378,354.0
0.61242235,0.17202097,355.0
0.62381387,0.15887688,356.0
0.484544,0.13234277,357.0
0.5789317,0.15074539,358.0
0.55482,0.14951243,359.0
0.42404523,0.1299338,360.0
0.31759134,0.09754307,361.0
0.31864578,0.10973418,362.0
0.40034673,0.12047839,363.0
0.38588306,0.12805413,364.0
0.557702,0.15416433,365.0
0.42377955,0.11011356,366.0
0.4468689,0.122550465,367.0
0.5267681,0.13464838,368.0
0.51991427,0.15009527,369.0
2.9603467,0.7320807,370.0
2.429898,0.55078083,371.0
0.33065698,0.08331851,372.0
0.5271851,0.101593144,373.0
0.9176098,0.1685106,374.0
1.3731664,0.23898983,375.0
2.198905,0.570342,376.0
0.53219813,0.1210058,377.0
0.9243866,0.20347123,378.0
1.421396,0.2689553,379.0
2.1431367,0.38414222,380.0
3.1326368,0.7568303,381.0
0.81689006,0.18034941,382.0
1.3118383,0.23860799,383.0
2.000751,0.34763741,384.0
3.1816518,0.6744676,385.0
0.32364058,0.0650187,386.0
0.5487724,0.09969957,387.0
0.93113303,0.15691452,388.0
1.3704879,0.1889469,389.0
2.0703447,0.41015774,390.0
2.2275774,0.49789467,391.0
0.89139724,0.1952662,392.0
1.4058247,0.28305972,393.0
2.12083,0.399644,394.0
4.0761776,0.91091466,395.0
0.34614277,0.070067264,396.0
0.7513851,0.14629406,397.0
0.51073885,0.10466866,398.0
0.7438894,0.14221902,399.0
0.51383376,0.08782011,400.0
0.5343032,0.09176596,401.0
1.7521548,0.3275003,402.0
2.881751,0.6118542,403.0
2.0602272,0.3005326,404.0
2.2723994,0.26819098,405.0
2.9072986,0.4516833,406.0
0.44186926,0.06839864,407.0
0.68078893,0.111525014,408.0
0.3199213,0.049519766,409.0
3.0617988,0.5645141,410.0
