peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.61290854,0.058540307,197.0
0.9654076,0.089827344,198.0
0.48392808,0.06049148,199.0
0.41445717,0.044223193,200.0
0.5236185,0.04661944,201.0
0.5350334,0.0494392,202.0
0.5148051,0.040117793,203.0
0.69092584,0.06339696,204.0
0.4885674,0.11029309,205.0
0.3757393,0.058701735,206.0
0.46645063,0.1142135,207.0
0.5037534,0.14995213,208.0
0.4109873,0.109231226,209.0
0.51123214,0.13822441,210.0
0.4091393,0.0929053,211.0
0.55646265,0.053219847,212.0
0.57346416,0.09207735,213.0
0.6451935,0.14265706,214.0
0.58958536,0.113517895,215.0
0.64109564,0.1390928,216.0
0.39677918,0.057448257,217.0
0.40293694,0.09761127,218.0
0.4236005,0.08616126,219.0
0.4632666,0.097554155,220.0
0.45944735,0.08667091,221.0
0.46449652,0.13017224,222.0
0.46847537,0.13114262,223.0
0.5826445,0.04590594,224.0
0.55728483,0.054793857,225.0
0.6073861,0.12200081,226.0
0.6127973,0.14050934,227.0
0.69996095,0.13560514,228.0
0.42007333,0.17568628,229.0
0.80379975,0.23627041,230.0
0.59081256,0.19605933,231.0
0.8036271,0.22298649,232.0
0.5799952,0.19227539,233.0
0.6145003,0.19307625,234.0
0.5935121,0.19354625,235.0
0.41505113,0.18904188,236.0
0.41508967,0.18861634,237.0
0.7244925,0.22419335,238.0
0.72099924,0.22580075,239.0
0.65815514,0.23056902,240.0
0.6960334,0.2211874,241.0
0.5129274,0.17058775,242.0
0.5143406,0.17074187,243.0
0.45843852,0.17182173,244.0
0.5144907,0.18321308,245.0
0.61263925,0.20189354,246.0
0.6574966,0.18719485,247.0
0.943421,0.19965029,248.0
0.4073316,0.1322381,249.0
0.61240005,0.15324242,250.0
0.9600883,0.21229371,251.0
0.7551092,0.16281523,252.0
0.74867976,0.13905858,253.0
0.5943728,0.11494294,254.0
0.56709486,0.1318549,255.0
0.7446679,0.13947792,256.0
0.42177802,0.11349263,257.0
0.41244775,0.17444336,258.0
0.5944174,0.17223255,259.0
0.5768063,0.18041316,260.0
0.5723795,0.14911918,261.0
0.58842015,0.1659175,262.0
0.6615011,0.15127376,263.0
0.6408078,0.14386594,264.0
0.6369506,0.14202973,265.0
0.65683633,0.14887588,266.0
0.6534141,0.16061805,267.0
0.63960636,0.14906794,268.0
0.6371649,0.1429255,269.0
0.65017086,0.16041827,270.0
0.71902996,0.15194121,271.0
0.7038138,0.14856172,272.0
0.70053613,0.14560436,273.0
0.71653414,0.14846928,274.0
0.7371568,0.17210227,275.0
0.7212175,0.15467857,276.0
0.71955776,0.15260804,277.0
0.7334009,0.1678181,278.0
0.78553045,0.15632546,279.0
0.7613854,0.1438325,280.0
0.75787485,0.14063747,281.0
0.78193897,0.15319836,282.0
0.8182377,0.1713989,283.0
0.80891204,0.16073853,284.0
0.808014,0.1596412,285.0
0.81486434,0.16632275,286.0
0.8487055,0.15551667,287.0
0.8372167,0.15484151,288.0
0.8288727,0.14758044,289.0
0.8449297,0.15223926,290.0
0.90079623,0.17202754,291.0
0.89476216,0.16416475,292.0
0.89496416,0.1638249,293.0
0.8986058,0.16966374,294.0
0.92093694,0.15988764,295.0
0.9047515,0.15379445,296.0
0.90459657,0.1533814,297.0
0.9184903,0.15767449,298.0
0.98789585,0.1718004,299.0
0.9821035,0.16545686,300.0
0.9816828,0.16460603,301.0
0.9858438,0.16931279,302.0
0.9974655,0.1649694,303.0
0.98947805,0.16073197,304.0
0.9882887,0.1594245,305.0
0.9941655,0.16198474,306.0
0.5658522,0.1509594,307.0
0.5573136,0.14999467,308.0
0.6050598,0.1572725,309.0
0.5813825,0.15054667,310.0
0.5726027,0.14976881,311.0
0.598805,0.15270178,312.0
0.6208054,0.15552953,313.0
0.60054135,0.1490739,314.0
0.5913443,0.14618024,315.0
0.6160168,0.15232593,316.0
0.63967526,0.15211149,317.0
0.6147042,0.14354038,318.0
0.60883534,0.14013329,319.0
0.6328668,0.14704165,320.0
0.5642419,0.19109923,321.0
0.55992365,0.18592437,322.0
0.6286119,0.14424755,323.0
0.622927,0.14100766,324.0
0.56374407,0.16011564,325.0
0.55257803,0.15023923,326.0
0.58718365,0.1630636,327.0
0.55464536,0.15935196,328.0
0.55639344,0.15495537,329.0
0.5592873,0.15638869,330.0
0.63556445,0.15030845,331.0
0.61731595,0.14334942,332.0
0.7112876,0.15440916,333.0
0.56452703,0.14744717,334.0
0.5933234,0.14985742,335.0
0.61675996,0.14957912,336.0
0.6505425,0.15663704,337.0
0.6388549,0.15829581,338.0
0.70868176,0.15832148,339.0
0.6859982,0.14437039,340.0
0.72834164,0.16000399,341.0
0.7247841,0.16185926,342.0
0.7726914,0.15379822,343.0
0.75733435,0.15073512,344.0
0.8225749,0.17310244,345.0
0.8238575,0.18024768,346.0
0.8437591,0.16166577,347.0
0.8383751,0.1664707,348.0
0.908467,0.17729668,349.0
0.90671533,0.17307153,350.0
0.9201153,0.16646223,351.0
0.9148025,0.16821755,352.0
0.9938731,0.17627929,353.0
0.990934,0.1718998,354.0
1.0018873,0.17066097,355.0
0.9949069,0.16924474,356.0
0.44243872,0.16976939,357.0
0.45962456,0.16582842,358.0
0.47980684,0.16314848,359.0
0.40305394,0.17758547,360.0
0.49197528,0.16496825,361.0
0.4157686,0.18194401,362.0
0.5045226,0.16400069,363.0
0.44133863,0.17409277,364.0
0.43361005,0.16669615,365.0
0.444846,0.17771247,366.0
0.4241653,0.17737213,367.0
0.42638594,0.17990291,368.0
0.42733952,0.18140042,369.0
0.43062237,0.20173119,370.0
0.5243541,0.1605878,371.0
0.5083008,0.15262546,372.0
0.5896681,0.15421468,373.0
0.45682752,0.15912846,374.0
0.47634247,0.15528655,375.0
0.4945038,0.15614896,376.0
0.51060313,0.15847716,377.0
0.46576774,0.17151845,378.0
0.4571539,0.16305043,379.0
0.5483276,0.15403202,380.0
0.5319404,0.14660583,381.0
0.5015637,0.18940324,382.0
0.49262455,0.18287662,383.0
0.5716243,0.14930113,384.0
0.55663246,0.14103764,385.0
0.5345377,0.17488874,386.0
0.52161175,0.15814884,387.0
0.6037744,0.14792906,388.0
0.5856863,0.1406106,389.0
0.54918694,0.1527791,390.0
0.58049536,0.15414277,391.0
0.42106366,0.1885772,392.0
0.42869043,0.16798311,393.0
0.5500259,0.1516244,394.0
0.40835214,0.21501197,395.0
0.5673523,0.16604371,396.0
0.42122877,0.1812864,397.0
0.55636364,0.16208962,398.0
0.41183162,0.17161846,399.0
0.5601555,0.16434906,400.0
0.41296744,0.17464934,401.0
0.5549114,0.15715064,402.0
0.41134995,0.17099743,403.0
0.8916756,0.20725483,404.0
0.611775,0.18046004,405.0
0.88476557,0.20657536,406.0
0.6070945,0.17808479,407.0
0.89365095,0.20760925,408.0
0.61120236,0.17729461,409.0
0.88586307,0.20644903,410.0
0.6090789,0.17823848,411.0
0.56114787,0.18464182,412.0
0.5536609,0.18791606,413.0
0.8741581,0.20570973,414.0
0.6114907,0.17179178,415.0
0.5671443,0.17903602,416.0
0.5139699,0.18261683,417.0
0.5174934,0.18461825,418.0
0.5212874,0.18502182,419.0
0.5230725,0.18356155,420.0
0.52547526,0.18274407,421.0
0.8767588,0.20576216,422.0
0.60468197,0.17970851,423.0
0.38086078,0.025965504,424.0
0.66204375,0.029709864,425.0
0.4683869,-0.014236621,426.0
0.4843096,0.07341971,427.0
0.66311044,0.038625233,428.0
0.48459393,0.06575814,429.0
0.51216036,0.0062307906,430.0
0.6406153,0.26447248,431.0
0.5227609,0.07480877,432.0
0.60784787,0.047425132,433.0
0.6210142,0.05644074,434.0
0.5854818,0.028476588,435.0
0.41815868,0.01862916,436.0
0.41746286,0.012925802,437.0
0.39698508,0.0032734915,438.0
0.73142743,0.06929901,439.0
0.63779587,0.15213215,440.0
0.61448187,0.1215159,441.0
0.6060017,0.121599935,442.0
0.61227417,0.1175145,443.0
0.6598675,0.12004265,444.0
0.6441091,0.10874019,445.0
0.64137703,0.10871275,446.0
0.6718637,0.12369746,447.0
0.7251135,0.15484473,448.0
0.71378434,0.1075161,449.0
0.8232396,0.15506952,450.0
0.79041535,0.115306064,451.0
0.57377845,0.1354593,452.0
0.5711273,0.1271022,453.0
0.5784447,0.122686416,454.0
0.5986953,0.13489841,455.0
0.56016624,0.11866586,456.0
0.5480923,0.118046686,457.0
0.5799256,0.11509174,458.0
0.6106048,0.13170472,459.0
0.6216888,0.12879607,460.0
0.5670221,0.118875355,461.0
0.6389383,0.12068747,462.0
0.6251597,0.14535789,463.0
0.6440996,0.14831886,464.0
0.6703044,0.122642554,465.0
0.67080414,0.124786995,466.0
0.73718905,0.12727223,467.0
0.8343102,0.17536718,468.0
0.8500422,0.17489582,469.0
0.8931187,0.1423664,470.0
0.8907539,0.14172943,471.0
0.50093424,0.12809476,472.0
0.501067,0.11509407,473.0
0.44824225,0.16064352,474.0
0.523996,0.11685748,475.0
0.49478924,0.17326573,476.0
