Category,Category_name,Exceedance Probability 1.5C|MAGICCv7.5.1,Exceedance Probability 2.0C|MAGICCv7.5.1,Exceedance Probability 2.5C|MAGICCv7.5.1,Exceedance Probability 3.0C|MAGICCv7.5.1,climate-models,exclude,harmonization,infilling,median peak warming (MAGICCv7.5.1),median warming at peak (MAGICCv7.5.1),median warming in 2100 (MAGICCv7.5.1),median year of peak warming (MAGICCv7.5.1),model,model_scenario,p67 peak warming (MAGICCv7.5.1),p67 warming at peak (MAGICCv7.5.1),p67 warming in 2100 (MAGICCv7.5.1),p67 year of peak warming (MAGICCv7.5.1),permafrost,pipeline,region,scenario,unit,variable,year of peak median warming (MAGICCv7.5.1),year of peak p67 warming (MAGICCv7.5.1),1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00,2051-01-01 00:00:00,2052-01-01 00:00:00,2053-01-01 00:00:00,2054-01-01 00:00:00,2055-01-01 00:00:00,2056-01-01 00:00:00,2057-01-01 00:00:00,2058-01-01 00:00:00,2059-01-01 00:00:00,2060-01-01 00:00:00,2061-01-01 00:00:00,2062-01-01 00:00:00,2063-01-01 00:00:00,2064-01-01 00:00:00,2065-01-01 00:00:00,2066-01-01 00:00:00,2067-01-01 00:00:00,2068-01-01 00:00:00,2069-01-01 00:00:00,2070-01-01 00:00:00,2071-01-01 00:00:00,2072-01-01 00:00:00,2073-01-01 00:00:00,2074-01-01 00:00:00,2075-01-01 00:00:00,2076-01-01 00:00:00,2077-01-01 00:00:00,2078-01-01 00:00:00,2079-01-01 00:00:00,2080-01-01 00:00:00,2081-01-01 00:00:00,2082-01-01 00:00:00,2083-01-01 00:00:00,2084-01-01 00:00:00,2085-01-01 00:00:00,2086-01-01 00:00:00,2087-01-01 00:00:00,2088-01-01 00:00:00,2089-01-01 00:00:00,2090-01-01 00:00:00,2091-01-01 00:00:00,2092-01-01 00:00:00,2093-01-01 00:00:00,2094-01-01 00:00:00,2095-01-01 00:00:00,2096-01-01 00:00:00,2097-01-01 00:00:00,2098-01-01 00:00:00,2099-01-01 00:00:00,2100-01-01 00:00:00,2105-01-01 00:00:00
C3,C3: likely 2°C,0.6583333333333333,0.145,0.01666666666666667,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.602771834842253,1.592892637036762,1.5236444244093192,2060,WITCH-GLOBIOM_3_1,WITCH-GLOBIOM_3_1SSP4-26,1.7406135515958283,1.7323501916082782,1.6604974164941961,2070,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP4-26,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2060,2070,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2482.800506388375,,,,,,,,,,384.1622236056127,,,,,,,,,,-188.7159402468889,,,,,,,,,,-556.9512642709428,,,,,,,,,,-634.6130406294161,,,,,,,,,,-938.1213747565356,,,,,,,,,,-1295.8,,,,,,,,,,-1602.7,,,,,,,,,,-1789.333333333333,
C3,C3: likely 2°C,0.6583333333333333,0.145,0.01666666666666667,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.602771834842253,1.592892637036762,1.5236444244093192,2060,WITCH-GLOBIOM_3_1,WITCH-GLOBIOM_3_1SSP4-26,1.7406135515958283,1.7323501916082782,1.6604974164941961,2070,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP4-26,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2060,2070,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,40223.20006170603,,,,,,,,,,22435.53057533042,,,,,,,,,,18315.66636704242,,,,,,,,,,14496.82133682269,,,,,,,,,,9977.2517275398,,,,,,,,,,7625.545611726689,,,,,,,,,,5140.3,,,,,,,,,,1137.766666666667,,,,,,,,,,-2991.633333333333,
C4,C4: below 2°C,0.9283333333333332,0.5016666666666667,0.1533333333333333,0.03833333333333333,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.001361084045342,1.994676649438782,1.9703328083591782,2093,WITCH-GLOBIOM_3_1,WITCH-GLOBIOM_3_1SSP4-34,2.180074212044666,2.178053086026686,2.157602226280631,2094,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP4-34,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2093,2094,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2481.85539770684,,,,,,,,,,1344.082320669005,,,,,,,,,,-119.276448149002,,,,,,,,,,-594.7857748793117,,,,,,,,,,-1161.244016526183,,,,,,,,,,-1324.469834055124,,,,,,,,,,-1395.9,,,,,,,,,,-1630.566666666667,,,,,,,,,,-1772.466666666667,
C4,C4: below 2°C,0.9283333333333332,0.5016666666666667,0.1533333333333333,0.03833333333333333,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.001361084045342,1.994676649438782,1.9703328083591782,2093,WITCH-GLOBIOM_3_1,WITCH-GLOBIOM_3_1SSP4-34,2.180074212044666,2.178053086026686,2.157602226280631,2094,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP4-34,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2093,2094,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,40225.41018836123,,,,,,,,,,36102.08650704973,,,,,,,,,,31142.7749478768,,,,,,,,,,25051.35695443185,,,,,,,,,,21745.48054938604,,,,,,,,,,17588.54974550231,,,,,,,,,,13268.56666666667,,,,,,,,,,7228.466666666667,,,,,,,,,,2167.366666666667,
C6,C6: below 3.0°C,1.0,0.955,0.7266666666666667,0.39,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.841910101115824,2.841910101115824,2.841910101115824,2100,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0ADVANCE_Reference,3.071048113118931,3.071048113118931,3.071048113118931,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,ADVANCE_Reference,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2100,2100,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2322.447066754865,,,,,,,,,,1688.113023021799,,,,,,,,,,2072.88512535271,,,,,,,,,,1782.312215956402,,,,,,,,,,41.93478242044601,,,,,,,,,,-1241.757605975445,,,,,,,,,,-2119.7,,,,,,,,,,-2747.433333333333,,,,,,,,,,-2958.266666666667,
C6,C6: below 3.0°C,1.0,0.955,0.7266666666666667,0.39,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.841910101115824,2.841910101115824,2.841910101115824,2100,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0ADVANCE_Reference,3.071048113118931,3.071048113118931,3.071048113118931,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,ADVANCE_Reference,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2100,2100,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,35317.82395044161,,,,,,,,,,40464.12136691522,,,,,,,,,,43741.85258135149,,,,,,,,,,45406.29653160729,,,,,,,,,,45795.32469663406,,,,,,,,,,44108.61290178502,,,,,,,,,,42042.73333333334,,,,,,,,,,39004.16666666666,,,,,,,,,,35139.13333333333,
C1,C1: 1.5°C with no or low OS,0.5433333333333333,0.07833333333333334,0.005,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.524952809340421,1.514441218913981,1.060150737660277,2039,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0EMF33_1.5C_cost100,1.639071465092253,1.6299452503092922,1.2043476650520901,2048,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_1.5C_cost100,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2039,2039,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,3246.763357294579,,,,,,,,,,-1454.767645414683,,,,,,,,,,-1973.21121325048,,,,,,,,,,-1823.214389587072,,,,,,,,,,-3298.520093888249,,,,,,,,,,-3671.921640506974,,,,,,,,,,-4414.666666666667,,,,,,,,,,-4401.1,,,,,,,,,,-4162.033333333334,
C1,C1: 1.5°C with no or low OS,0.5433333333333333,0.07833333333333334,0.005,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.524952809340421,1.514441218913981,1.060150737660277,2039,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0EMF33_1.5C_cost100,1.639071465092253,1.6299452503092922,1.2043476650520901,2048,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_1.5C_cost100,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2039,2039,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,34762.3454510959,,,,,,,,,,15682.12448227398,,,,,,,,,,7655.955161677043,,,,,,,,,,1441.376395148269,,,,,,,,,,-5337.677274091465,,,,,,,,,,-7073.288927945893,,,,,,,,,,-8263.2,,,,,,,,,,-9337.533333333336,,,,,,,,,,-10052.53333333334,
C3,C3: likely 2°C,0.8216666666666667,0.3033333333333333,0.08,0.008333333333333333,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.8170204142882642,1.80969435706853,1.557466919009858,2069,REMIND-MAgPIE_1_5,REMIND-MAgPIE_1_5SSP1-26,1.966131721701301,1.9636294492847821,1.723655051938054,2070,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP1-26,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2069,2070,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,1109.872628347449,,,,,,,,,,922.0540649135553,,,,,,,,,,450.5260827020799,,,,,,,,,,327.2173890453521,,,,,,,,,,1238.473907483839,,,,,,,,,,967.8404870102733,,,,,,,,,,362.2666666666667,,,,,,,,,,71.5,,,,,,,,,,9.533333333333333,
C3,C3: likely 2°C,0.8216666666666667,0.3033333333333333,0.08,0.008333333333333333,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.8170204142882642,1.80969435706853,1.557466919009858,2069,REMIND-MAgPIE_1_5,REMIND-MAgPIE_1_5SSP1-26,1.966131721701301,1.9636294492847821,1.723655051938054,2070,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP1-26,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2069,2070,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,34407.62012293283,,,,,,,,,,31451.8503734289,,,,,,,,,,27798.44365055122,,,,,,,,,,21071.95266920354,,,,,,,,,,10822.61348089092,,,,,,,,,,2089.768647263533,,,,,,,,,,-3156.266666666667,,,,,,,,,,-6777.1,,,,,,,,,,-8597.600000000002,
C5,C5: below 2.5°C,0.96,0.615,0.2083333333333333,0.08166666666666668,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.135385013662477,2.1312328473306037,2.01023318850416,2081,REMIND-MAgPIE_1_5,REMIND-MAgPIE_1_5SSP1-34,2.3260652408487843,2.322768507239426,2.2039860936811344,2082,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP1-34,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2082,2081,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,1012.526434149503,,,,,,,,,,834.3472724981207,,,,,,,,,,508.6691980950471,,,,,,,,,,50.44601414449178,,,,,,,,,,-273.2749987732398,,,,,,,,,,-94.88632225590915,,,,,,,,,,1.466666666666667,,,,,,,,,,-71.5,,,,,,,,,,-89.46666666666668,
C5,C5: below 2.5°C,0.96,0.615,0.2083333333333333,0.08166666666666668,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.135385013662477,2.1312328473306037,2.01023318850416,2081,REMIND-MAgPIE_1_5,REMIND-MAgPIE_1_5SSP1-34,2.3260652408487843,2.322768507239426,2.2039860936811344,2082,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP1-34,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2082,2081,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,34407.62012293283,,,,,,,,,,36672.59988421549,,,,,,,,,,37150.28703525347,,,,,,,,,,34205.67735900814,,,,,,,,,,28408.85544710807,,,,,,,,,,19315.03990974724,,,,,,,,,,9868.466666666667,,,,,,,,,,2548.333333333333,,,,,,,,,,-2737.900000000001,
C1,C1: 1.5°C with no or low OS,0.6,0.09,0.001666666666666667,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.5644536798698983,1.554013706329468,1.073415634535234,2048,REMIND-MAgPIE_1_5,REMIND-MAgPIE_1_5SSP2-19,1.6848633988249362,1.6811270780333047,1.189336727244732,2049,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP2-19,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2049,2049,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2703.640901640023,,,,,,,,,,3430.274143214733,,,,,,,,,,3909.543079023137,,,,,,,,,,1221.611585769314,,,,,,,,,,1094.14836465347,,,,,,,,,,30.0771738471561,,,,,,,,,,-188.8333333333333,,,,,,,,,,345.0333333333334,,,,,,,,,,-320.4666666666667,
C1,C1: 1.5°C with no or low OS,0.6,0.09,0.001666666666666667,0.0,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.5644536798698983,1.554013706329468,1.073415634535234,2048,REMIND-MAgPIE_1_5,REMIND-MAgPIE_1_5SSP2-19,1.6848633988249362,1.6811270780333047,1.189336727244732,2049,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP2-19,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2049,2049,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,39000.26331248338,,,,,,,,,,27099.75348852049,,,,,,,,,,4207.538770637269,,,,,,,,,,-8583.576513279693,,,,,,,,,,-11645.94147872464,,,,,,,,,,-12660.805555142,,,,,,,,,,-13451.16666666667,,,,,,,,,,-13585.36666666667,,,,,,,,,,-13859.26666666666,
C3,C3: likely 2°C,0.8233333333333334,0.2683333333333333,0.055,0.005,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.7820335173119461,1.779468390718888,1.54658472798031,2060,REMIND-MAgPIE_1_5,REMIND-MAgPIE_1_5SSP2-26,1.9263976159373117,1.920454618854654,1.701273424702932,2069,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP2-26,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2060,2060,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,4453.03707115844,,,,,,,,,,1570.954872267603,,,,,,,,,,1687.479331890754,,,,,,,,,,3049.597895613297,,,,,,,,,,2350.444554666,,,,,,,,,,1372.450087573206,,,,,,,,,,860.5666666666667,,,,,,,,,,352.7333333333333,,,,,,,,,,115.5,
C3,C3: likely 2°C,0.8233333333333334,0.2683333333333333,0.055,0.005,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.7820335173119461,1.779468390718888,1.54658472798031,2060,REMIND-MAgPIE_1_5,REMIND-MAgPIE_1_5SSP2-26,1.9263976159373117,1.920454618854654,1.701273424702932,2069,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP2-26,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2060,2060,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,39000.26331248338,,,,,,,,,,34824.13654219842,,,,,,,,,,26105.49776233065,,,,,,,,,,16107.98760819699,,,,,,,,,,5090.899212296523,,,,,,,,,,-2852.286513639938,,,,,,,,,,-7709.533333333333,,,,,,,,,,-10847.83333333333,,,,,,,,,,-12187.26666666666,
C7,C7: above 3.0°C,1.0,1.0,0.9866666666666668,0.855,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),3.6768284541253196,3.6768284541253196,3.6768284541253196,2100,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0SSP2-Baseline,3.9846844291256964,3.9846844291256964,3.9846844291256964,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP2-Baseline,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2100,2100,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2245.578227323478,,,,,,,,,,2253.514374865949,,,,,,,,,,2747.677510284808,,,,,,,,,,2823.272534856929,,,,,,,,,,1844.431513459284,,,,,,,,,,886.2024437108493,,,,,,,,,,65.63333333333334,,,,,,,,,,-248.6,,,,,,,,,,-481.4333333333333,
C7,C7: above 3.0°C,1.0,1.0,0.9866666666666668,0.855,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),3.6768284541253196,3.6768284541253196,3.6768284541253196,2100,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0SSP2-Baseline,3.9846844291256964,3.9846844291256964,3.9846844291256964,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP2-Baseline,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2100,2100,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,37012.99109499659,,,,,,,,,,42466.43928419378,,,,,,,,,,47785.35618662999,,,,,,,,,,53737.76080443014,,,,,,,,,,59558.34285132273,,,,,,,,,,65139.13453689784,,,,,,,,,,74067.76666666666,,,,,,,,,,81276.8,,,,,,,,,,86165.56666666668,
C4,C4: below 2°C,0.9333333333333332,0.3983333333333333,0.1116666666666667,0.01666666666666667,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.915370094202328,1.907935263005964,1.876382411828202,2071,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0SSP3-34,2.0888182101222457,2.076338404918352,2.062355078489325,2094,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP3-34,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2070,2083,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2829.025320056794,,,,,,,,,,2381.999971135054,,,,,,,,,,1086.445641914307,,,,,,,,,,327.8990919391965,,,,,,,,,,-766.3581487336506,,,,,,,,,,-1296.182968175061,,,,,,,,,,-1045.366666666667,,,,,,,,,,-956.6333333333334,,,,,,,,,,-866.8000000000003,
C4,C4: below 2°C,0.9333333333333332,0.3983333333333333,0.1116666666666667,0.01666666666666667,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.915370094202328,1.907935263005964,1.876382411828202,2071,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0SSP3-34,2.0888182101222457,2.076338404918352,2.062355078489325,2094,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP3-34,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2070,2083,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,41936.41657394531,,,,,,,,,,42607.41129932571,,,,,,,,,,29202.67293606636,,,,,,,,,,21500.46997586924,,,,,,,,,,13684.06386408464,,,,,,,,,,7437.66825485242,,,,,,,,,,3272.5,,,,,,,,,,773.6666666666669,,,,,,,,,,151.4333333333334,
C2,C2: 1.5°C with high OS,0.6916666666666667,0.1616666666666667,0.025,0.0033333333333333327,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.6481993768509484,1.633371029138276,1.416478375394436,2050,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0EMF33_WB2C_cost100,1.7772800855880908,1.76875049080597,1.579574609391264,2060,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_WB2C_cost100,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2059,2058,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,3246.763357294579,,,,,,,,,,-1034.033954860937,,,,,,,,,,-1734.658316952477,,,,,,,,,,-1918.311943278376,,,,,,,,,,-3340.105419788525,,,,,,,,,,-3831.975172765055,,,,,,,,,,-4397.066666666668,,,,,,,,,,-4276.800000000001,,,,,,,,,,-4054.6,
C2,C2: 1.5°C with high OS,0.6916666666666667,0.1616666666666667,0.025,0.0033333333333333327,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.6481993768509484,1.633371029138276,1.416478375394436,2050,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0EMF33_WB2C_cost100,1.7772800855880908,1.76875049080597,1.579574609391264,2060,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_WB2C_cost100,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2059,2058,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,34762.3454510959,,,,,,,,,,26352.56500100661,,,,,,,,,,18654.0348695762,,,,,,,,,,11652.28964420474,,,,,,,,,,3943.675008356948,,,,,,,,,,142.7427574689225,,,,,,,,,,-3062.766666666667,,,,,,,,,,-5860.800000000001,,,,,,,,,,-7324.533333333334,
C2,C2: 1.5°C with high OS,0.6916666666666667,0.1616666666666667,0.025,0.0033333333333333327,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.6489711864312318,1.631208520887433,1.417599292522603,2050,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0EMF33_WB2C_full,1.7774238185517441,1.7673416179203492,1.580542483335908,2060,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_WB2C_full,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2059,2058,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,3246.763357294579,,,,,,,,,,-1032.739389659233,,,,,,,,,,-1714.391288158356,,,,,,,,,,-1847.755693765473,,,,,,,,,,-3273.009767915812,,,,,,,,,,-3770.746640290487,,,,,,,,,,-4347.933333333333,,,,,,,,,,-4243.433333333333,,,,,,,,,,-4039.566666666666,
C2,C2: 1.5°C with high OS,0.6916666666666667,0.1616666666666667,0.025,0.0033333333333333327,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.6489711864312318,1.631208520887433,1.417599292522603,2050,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0EMF33_WB2C_full,1.7774238185517441,1.7673416179203492,1.580542483335908,2060,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_WB2C_full,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2059,2058,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,34762.3454510959,,,,,,,,,,26573.7769620883,,,,,,,,,,18565.02924173578,,,,,,,,,,11169.38077545798,,,,,,,,,,3743.535062407182,,,,,,,,,,46.60239125592074,,,,,,,,,,-3027.200000000001,,,,,,,,,,-5806.166666666668,,,,,,,,,,-7260.733333333334,
C3,C3: likely 2°C,0.8683333333333333,0.3166666666666667,0.07666666666666666,0.008333333333333333,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.84053644419885,1.835840875094985,1.598435982074571,2060,REMIND-MAgPIE_1_7-3_0,REMIND-MAgPIE_1_7-3_0EMF33_tax_hi_full,1.9812714511248317,1.9790070619074618,1.7578071425487534,2060,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_tax_hi_full,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2060,2060,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,3727.508639967928,,,,,,,,,,2068.3915510223,,,,,,,,,,2224.721718121775,,,,,,,,,,2964.725885329658,,,,,,,,,,2300.122815761463,,,,,,,,,,2010.873908638438,,,,,,,,,,1570.066666666667,,,,,,,,,,878.5333333333334,,,,,,,,,,111.8333333333333,
C3,C3: likely 2°C,0.8683333333333333,0.3166666666666667,0.07666666666666666,0.008333333333333333,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.84053644419885,1.835840875094985,1.598435982074571,2060,REMIND-MAgPIE_1_7-3_0,REMIND-MAgPIE_1_7-3_0EMF33_tax_hi_full,1.9812714511248317,1.9790070619074618,1.7578071425487534,2060,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_tax_hi_full,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2060,2060,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,42150.7988595018,,,,,,,,,,35523.47552065967,,,,,,,,,,24767.47100991995,,,,,,,,,,15215.67198162383,,,,,,,,,,5021.492882416696,,,,,,,,,,-3002.001282399116,,,,,,,,,,-8927.966666666667,,,,,,,,,,-13033.16666666667,,,,,,,,,,-15015.73333333334,
