Category,Category_name,Exceedance Probability 1.5C|MAGICCv7.5.1,Exceedance Probability 2.0C|MAGICCv7.5.1,Exceedance Probability 2.5C|MAGICCv7.5.1,Exceedance Probability 3.0C|MAGICCv7.5.1,climate-models,exclude,harmonization,infilling,median peak warming (MAGICCv7.5.1),median warming at peak (MAGICCv7.5.1),median warming in 2100 (MAGICCv7.5.1),median year of peak warming (MAGICCv7.5.1),model,model_scenario,p67 peak warming (MAGICCv7.5.1),p67 warming at peak (MAGICCv7.5.1),p67 warming in 2100 (MAGICCv7.5.1),p67 year of peak warming (MAGICCv7.5.1),permafrost,pipeline,region,scenario,unit,variable,year of peak median warming (MAGICCv7.5.1),year of peak p67 warming (MAGICCv7.5.1),1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00,2051-01-01 00:00:00,2052-01-01 00:00:00,2053-01-01 00:00:00,2054-01-01 00:00:00,2055-01-01 00:00:00,2056-01-01 00:00:00,2057-01-01 00:00:00,2058-01-01 00:00:00,2059-01-01 00:00:00,2060-01-01 00:00:00,2061-01-01 00:00:00,2062-01-01 00:00:00,2063-01-01 00:00:00,2064-01-01 00:00:00,2065-01-01 00:00:00,2066-01-01 00:00:00,2067-01-01 00:00:00,2068-01-01 00:00:00,2069-01-01 00:00:00,2070-01-01 00:00:00,2071-01-01 00:00:00,2072-01-01 00:00:00,2073-01-01 00:00:00,2074-01-01 00:00:00,2075-01-01 00:00:00,2076-01-01 00:00:00,2077-01-01 00:00:00,2078-01-01 00:00:00,2079-01-01 00:00:00,2080-01-01 00:00:00,2081-01-01 00:00:00,2082-01-01 00:00:00,2083-01-01 00:00:00,2084-01-01 00:00:00,2085-01-01 00:00:00,2086-01-01 00:00:00,2087-01-01 00:00:00,2088-01-01 00:00:00,2089-01-01 00:00:00,2090-01-01 00:00:00,2091-01-01 00:00:00,2092-01-01 00:00:00,2093-01-01 00:00:00,2094-01-01 00:00:00,2095-01-01 00:00:00,2096-01-01 00:00:00,2097-01-01 00:00:00,2098-01-01 00:00:00,2099-01-01 00:00:00,2100-01-01 00:00:00,2105-01-01 00:00:00
C2,C2: 1.5°C with high OS,0.6766666666666666,0.155,0.02333333333333333,0.001666666666666667,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.6359357154508192,1.618867294937425,1.4174151047406482,2050,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0EMF33_WB2C_nofuel,1.763912332498649,1.754032116047686,1.582524389836083,2060,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_WB2C_nofuel,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2050,2050,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,3246.763357294579,,,,,,,,,,-1034.357596161363,,,,,,,,,,-1715.720273653053,,,,,,,,,,-1881.499987010774,,,,,,,,,,-3298.520093888249,,,,,,,,,,-3797.243198203459,,,,,,,,,,-4391.933333333333,,,,,,,,,,-4365.166666666667,,,,,,,,,,-4085.766666666667,
C2,C2: 1.5°C with high OS,0.6766666666666666,0.155,0.02333333333333333,0.001666666666666667,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),1.6359357154508192,1.618867294937425,1.4174151047406482,2050,MESSAGE-GLOBIOM_1_0,MESSAGE-GLOBIOM_1_0EMF33_WB2C_nofuel,1.763912332498649,1.754032116047686,1.582524389836083,2060,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,EMF33_WB2C_nofuel,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2050,2050,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,34762.3454510959,,,,,,,,,,25702.17975103764,,,,,,,,,,17749.26691714895,,,,,,,,,,10833.84363910654,,,,,,,,,,3993.985416788357,,,,,,,,,,844.3472620462493,,,,,,,,,,-1633.5,,,,,,,,,,-3778.866666666667,,,,,,,,,,-5064.766666666666,
C5,C5: below 2.5°C,0.995,0.8383333333333334,0.485,0.1916666666666667,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.483854295580253,2.4811921573144846,2.4811921573144846,2100,WITCH-GLOBIOM_3_1,WITCH-GLOBIOM_3_1SSP4-45,2.7048676462773282,2.7048676462773282,2.7048676462773282,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP4-45,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2100,2100,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2479.650144116596,,,,,,,,,,1646.039653966425,,,,,,,,,,637.9130374542723,,,,,,,,,,-499.6882211880062,,,,,,,,,,-1050.116843112002,,,,,,,,,,-1556.493746590328,,,,,,,,,,-1663.566666666667,,,,,,,,,,-1864.133333333333,,,,,,,,,,-1710.133333333333,
C5,C5: below 2.5°C,0.995,0.8383333333333334,0.485,0.1916666666666667,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.483854295580253,2.4811921573144846,2.4811921573144846,2100,WITCH-GLOBIOM_3_1,WITCH-GLOBIOM_3_1SSP4-45,2.7048676462773282,2.7048676462773282,2.7048676462773282,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP4-45,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2100,2100,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,39851.53042918623,,,,,,,,,,42737.70919320743,,,,,,,,,,40926.03817330962,,,,,,,,,,37437.93268673099,,,,,,,,,,34048.76240104661,,,,,,,,,,31248.55460292677,,,,,,,,,,25595.16666666667,,,,,,,,,,21217.53333333334,,,,,,,,,,13295.33333333334,
C7,C7: above 3.0°C,1.0,0.9933333333333332,0.8866666666666667,0.6116666666666667,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),3.1785045518137562,3.1785045518137562,3.1785045518137562,2100,WITCH-GLOBIOM_3_1,WITCH-GLOBIOM_3_1SSP4-60,3.4592412249776614,3.4592412249776614,3.4592412249776614,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP4-60,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2100,2100,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,2479.965180343773,,,,,,,,,,1641.185034460035,,,,,,,,,,849.2217311109997,,,,,,,,,,146.9069736234862,,,,,,,,,,-434.0249980516162,,,,,,,,,,-785.9451975536625,,,,,,,,,,-1045.366666666667,,,,,,,,,,-1104.766666666667,,,,,,,,,,-828.3000000000003,
C7,C7: above 3.0°C,1.0,0.9933333333333332,0.8866666666666667,0.6116666666666667,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),3.1785045518137562,3.1785045518137562,3.1785045518137562,2100,WITCH-GLOBIOM_3_1,WITCH-GLOBIOM_3_1SSP4-60,3.4592412249776614,3.4592412249776614,3.4592412249776614,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP4-60,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2100,2100,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,39572.31776174324,,,,,,,,,,44908.60461160982,,,,,,,,,,46191.34630621549,,,,,,,,,,47839.21640307121,,,,,,,,,,47993.19180949526,,,,,,,,,,47747.63584733594,,,,,,,,,,45281.50000000001,,,,,,,,,,42110.56666666667,,,,,,,,,,33677.23333333334,
C5,C5: below 2.5°C,0.9933333333333332,0.82,0.4833333333333333,0.185,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.478319480438036,2.474533972327949,2.474533972327949,2100,IMAGE_3_0_1,IMAGE_3_0_1SSP5-45,2.694165332397599,2.694165332397599,2.694165332397599,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP5-45,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2100,2100,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,5014.746664216486,,,,,,,,,,5044.596949739414,,,,,,,,,,2155.614472397562,,,,,,,,,,2758.510759941703,,,,,,,,,,-13.97826080681534,,,,,,,,,,-836.073820632256,,,,,,,,,,-900.1666666666667,,,,,,,,,,-1016.4,,,,,,,,,,-1516.166666666667,
C5,C5: below 2.5°C,0.9933333333333332,0.82,0.4833333333333333,0.185,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),2.478319480438036,2.474533972327949,2.474533972327949,2100,IMAGE_3_0_1,IMAGE_3_0_1SSP5-45,2.694165332397599,2.694165332397599,2.694165332397599,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP5-45,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2100,2100,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,39885.78739234216,,,,,,,,,,47003.67696182115,,,,,,,,,,51184.48846969202,,,,,,,,,,44350.0711976817,,,,,,,,,,35018.9821023297,,,,,,,,,,28641.38932833372,,,,,,,,,,21159.23333333333,,,,,,,,,,13904.36666666667,,,,,,,,,,9116.8,
C7,C7: above 3.0°C,1.0,0.9816666666666668,0.8433333333333334,0.56,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),3.118985796937536,3.118985796937536,3.118985796937536,2100,IMAGE_3_0_1,IMAGE_3_0_1SSP5-60,3.3813269955823886,3.3813269955823886,3.3813269955823886,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP5-60,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|AFOLU,2100,2100,,,,,,,,,,,,,,,,3243.438262,,,,,,,,,,5453.277092448007,,,,,,,,,,7472.877626835379,,,,,,,,,,5870.461176447673,,,,,,,,,,5536.790903804895,,,,,,,,,,564.3722800751692,,,,,,,,,,-555.3535313921324,,,,,,,,,,-525.4333333333334,,,,,,,,,,-987.8,,,,,,,,,,-1029.966666666667,
C7,C7: above 3.0°C,1.0,0.9816666666666668,0.8433333333333334,0.56,openscm_runner (version: 0.5.0),False,aneris (version: 0.2.0+11.g0beff33),silicone (version: 1.0.2),3.118985796937536,3.118985796937536,3.118985796937536,2100,IMAGE_3_0_1,IMAGE_3_0_1SSP5-60,3.3813269955823886,3.3813269955823886,3.3813269955823886,2100,True,climate-assessment (version: 0.1.2-sod+154.g201cf4a),World,SSP5-60,Mt CO2/yr,SR15 climate diagnostics|Infilled|Emissions|CO2|Energy and Industrial Processes,2100,2100,,,,,,,,,,,,,,,,32890.3978,,,,,,,,,,40217.30639062543,,,,,,,,,,49957.83203610015,,,,,,,,,,60120.35927138808,,,,,,,,,,63778.88417726054,,,,,,,,,,62138.4956224109,,,,,,,,,,54304.2620438776,,,,,,,,,,41796.7,,,,,,,,,,33310.56666666667,,,,,,,,,,25025.73333333333,
